example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.50962 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.00844 seconds |
./spec/features/calculations_spec.rb[3:1]  | passed | 0.00931 seconds |
./spec/features/calculations_spec.rb[4:1]  | passed | 0.00896 seconds |
./spec/features/calculations_spec.rb[5:1]  | passed | 0.02967 seconds |
./spec/features/calculations_spec.rb[6:1]  | passed | 0.00891 seconds |
./spec/features/calculations_spec.rb[7:1]  | passed | 0.00858 seconds |
./spec/features/calculations_spec.rb[8:1]  | passed | 0.00878 seconds |
./spec/features/calculations_spec.rb[9:1]  | passed | 0.00941 seconds |
./spec/features/calculations_spec.rb[10:1] | passed | 0.00837 seconds |
./spec/features/calculations_spec.rb[11:1] | passed | 0.00745 seconds |
./spec/features/calculations_spec.rb[12:1] | passed | 0.00716 seconds |
./spec/features/calculations_spec.rb[13:1] | passed | 0.00681 seconds |
./spec/features/calculations_spec.rb[14:1] | passed | 0.00712 seconds |
./spec/features/calculations_spec.rb[15:1] | passed | 0.01514 seconds |
./spec/features/calculations_spec.rb[16:1] | passed | 0.00746 seconds |
./spec/features/calculations_spec.rb[17:1] | passed | 0.01647 seconds |
./spec/features/calculations_spec.rb[18:1] | passed | 0.01608 seconds |
./spec/features/calculations_spec.rb[19:1] | passed | 0.00861 seconds |
./spec/features/calculations_spec.rb[20:1] | passed | 0.00753 seconds |
./spec/features/calculations_spec.rb[21:1] | passed | 0.00758 seconds |
./spec/features/calculations_spec.rb[22:1] | passed | 0.00726 seconds |
./spec/features/calculations_spec.rb[23:1] | passed | 0.0074 seconds  |
./spec/features/calculations_spec.rb[24:1] | passed | 0.01717 seconds |
./spec/features/calculations_spec.rb[25:1] | passed | 0.00761 seconds |
./spec/features/calculations_spec.rb[26:1] | passed | 0.01587 seconds |
./spec/features/calculations_spec.rb[27:1] | passed | 0.01547 seconds |
./spec/features/calculations_spec.rb[28:1] | passed | 0.00815 seconds |
./spec/features/calculations_spec.rb[29:1] | passed | 0.00656 seconds |
./spec/features/calculations_spec.rb[30:1] | passed | 0.00749 seconds |
./spec/features/calculations_spec.rb[31:1] | passed | 0.02134 seconds |
./spec/features/calculations_spec.rb[32:1] | passed | 0.00772 seconds |
./spec/features/calculations_spec.rb[33:1] | passed | 0.0073 seconds  |
./spec/features/calculations_spec.rb[34:1] | passed | 0.00663 seconds |
./spec/features/calculations_spec.rb[35:1] | passed | 0.01674 seconds |
./spec/features/calculations_spec.rb[36:1] | passed | 0.00741 seconds |
./spec/features/calculations_spec.rb[37:1] | passed | 0.01907 seconds |
./spec/features/calculations_spec.rb[38:1] | passed | 0.03633 seconds |
./spec/features/calculations_spec.rb[39:1] | passed | 0.02149 seconds |
./spec/features/calculations_spec.rb[40:1] | passed | 0.0211 seconds  |
./spec/features/calculations_spec.rb[41:1] | passed | 0.0215 seconds  |
./spec/features/calculations_spec.rb[42:1] | passed | 0.00965 seconds |
./spec/features/calculations_spec.rb[43:1] | passed | 0.00668 seconds |
./spec/features/calculations_spec.rb[44:1] | passed | 0.00669 seconds |
./spec/features/calculations_spec.rb[45:1] | passed | 0.00642 seconds |
./spec/features/calculations_spec.rb[46:1] | passed | 0.0064 seconds  |
./spec/features/calculations_spec.rb[47:1] | passed | 0.00668 seconds |
./spec/features/calculations_spec.rb[48:1] | passed | 0.01778 seconds |
./spec/features/calculations_spec.rb[49:1] | passed | 0.00722 seconds |
./spec/features/calculations_spec.rb[50:1] | passed | 0.07615 seconds |
